ACEITE DE 900 CC LEGENDARIO CAJA POR 12 UNIDADES (DELICATEZZA),774,$1642.00,Disponible
ACEITE DE MAIZ CAJA POR 200 SOBRES (ABEDUL),341,$925.00,Disponible
ACEITE DE OLIVA CAJA POR 198 UNIDADES (ABEDUL),575,$1394.00,Disponible
ACEITE DE OLIVA POR 1 LITRO (SAGRADA),661,$232.00,Disponible
ACEITE DE OLIVA POR 2 LITROS (SAGRADA),192,$410.00,Disponible
ACEITE DE OLIVA POR 2 LITROS (SAGRADA),193,$935.00,Disponible
ACEITE EN BIDON (CAMPOS DEL SOL),071,$545.00,Disponible
ACEITE LEGEDARIO GIRASOL 900 CC (CAMPOS DEL SOL),343,$138.00,Disponible
ACEITE MEZCLA DE 900 CC (LAGRIMAS DEL SOL),736,$119.80,Disponible
ACEITE POR 3 LITROS PURO DE GIRASOL (LAGRIMAS DEL SOL),735,$572.00,Disponible
ACEITUNA DESCAROZADA POR 1 KILO (DON TITO),650,$422.00,Disponible
ACEITUNA NUMERO 1 - 1KG,,,
ACEITUNAS CON CAROZO NUM 0 POR 2 KILOS (DON VICENTE),435,$560.00,Disponible
ACEITUNAS CON CAROZO NUM 2 POR 2 KILOS (DON VICENTE),564,$463.00,Disponible
ACEITUNAS CON CAROZO POR 8 KILOS NUM 2 (DON VICENTE),563,$1000.90,Disponible
ACEITUNAS FILETEADAS POR 1 KILO (DON TITO),621,$377.00,Disponible
ACEITUNAS NEGRAS NUMERO 00 POR 2 KILOS (DON VICENTE),436,$878.00,Disponible
ACEITUNAS NUMERO 2 POR 1 KILO (DON VICENTE),619,$335.00,Disponible
ACEITUNAS RELLENAS POR 2 KILOS (DON TITO),383,$827.00,Disponible
ACETO BALSAMICO CAJA POR 198 SOBRES (ABEDUL),756,$753.00,Disponible
ACIDO ACETICO POR 1 LITRO (EMETH),05,$524.00,Disponible
AGUA DE AZAHAR POR 1 LITRO (EMETH),502,$415.00,Disponible
AGUA DE AZAHAR POR 1 LITRO (EMETH),013,$200.50,Disponible
AJO EN POLVO POR MEDIO KILO (DELICATEZZA),102,$218.00,Disponible
AJO GRANULADO POR 1 KILO (DELICATEZZA),672,$458.00,Disponible
AJO GRANULADO POR MEDIO KILO (DELICATEZZA),091,$240.00,Disponible
ALBAHACA POR 1 KILO (DELICATEZZA),674,$810.00,Disponible
ALBAHACA POR MEDIO KILO (DELICATEZZA),098,$410.00,Disponible
ALMENDRA ENTERA CHICA POR 10 KILOS (DELICATEZZA),663,$8890.00,Disponible
ALMENDRA ENTERA CHICA POR 5 KILOS (DELICATEZZA),659,$4515.00,Disponible
ALMENDRAS ENTERA (CHICA ) POR MEDIO KILO (DELICATEZZA),137,$497.00,Disponible
ALMENDRAS ENTERA (CHICA) POR 1 KILO (DELICATEZZA),135,$903.00,Disponible
ALMENDRAS ENTERAS POR 1 KILO (DELICATEZZA),173,$1150.00,Disponible
ALMENDRAS ENTERAS POR MEDIO KILO (DELICATEZZA),174,$585.00,Disponible
ANTIMOHO (PROP. DE CALCIO) POR 1 KILO (EMETH),04,$569.00,Disponible
ANTIMOHO POR 5 KILOS (EMETH),654,$2699.00,Disponible
ANTIMOHO POR 5 KILOS (EMETH),442,$56.40,Disponible
ARINA CANEPA LEUDANTE POR 10 KILOS (CANEPA),214,$526.70,Disponible
AROMA M POR 1 LITRO (EMETH),503,$221.00,Disponible
AROMA M POR 2 LITROS (EMETH),021,$335.00,Disponible
AROMA M POR 5 LITROS (EMETH),194,$659.00,Disponible
Arvejas en caja,,,
ARVEJAS INCA LATA POR 350 GRAMOS (INALPA),482,$32.00,Disponible
ATUN DEMENUZADO AL NATURAL,,,
ATUN DESMENUZADO EN AGUA Y ACEITE,,,
ATUN EN LOMITOS AL NATURAL POR 170 GRAMOS (MARECHIARE),737,$179.50,Disponible
ATUN LOMITOS EN ACEITE POR 170 GRAMOS (MARECHIARE),738,$179.50,Disponible
AZUCAR BELLA VISTA POR 50 KILOS (SWEETELLA),596,$2220.00,Disponible
AZUCAR CAJA POR 800 SOBRES (ABEDUL),238,$1095.00,Disponible
AZUCAR GRANELA POR 1 KILO (LODISER),484,$214.00,Disponible
AZUCAR IMPALPABLE EMETH POR 10 KILOS (EMETH),08,$895.00,Disponible
AZUCAR IMPALPABLE EMETH POR 10 KILOS (EMETH),010,$895.00,Disponible
AZUCAR IMPALPABLE PROCAL POR 10 KILOS (PROCAL),747,$792.00,Disponible
AZUCAR MASCABO POR 1 KILO (DELICATEZZA),384,$171.36,Disponible
AZUCAR MASCABO POR 1 KILO (DELICATEZZA),384,$171.36,Disponible
AZUCAR NEGRA POR 1 KILO (EMETH),011,$87.00,Disponible
AZUCAR NEGRA POR 1 KILO DEWEY (DEWEY),758,$89.60,Disponible
AZUCAR NEGRA POR 10 KILOs (EMETH),010,$895.00,Disponible
AZUCAR NEGRA POR 5 KILOs (EMETH),589,$455.00,Disponible
AZUCAR NEGRA PROCAL POR 10 KILOS (PROCAL),748,$792.00,Disponible
BARBACOA SACHET POR 3 KILOS (ABEDUL),516,$868.00,Disponible
BICARBONATO AMONIO POR 1 KILO (EMETH),06,$200.00,Disponible
BICARBONATO DE SODIO POR 1 KILO (DELICATEZZA),124,$151.00,Disponible
BIZCOCHUELO DE CHOCOLATE EMETH CAJA POR 500 GRS (EMETH),470,$209.00,Disponible
BIZCOCHUELO DE VAINILLA EMETH CAJA POR 500 GRS (EMETH),447,$136.00,Disponible
BOMBONITO BLANCO POR 1 KILO (MAPSA),416,$518.00,Disponible
BOMBONITO BLANCO POR 1 KILO (MAPSA),416,$516.00,Disponible
BOMBONITO SEMIAMARGO MAPSA POR 1 KILO (MAPSA),199,$518.00,Disponible
BOMBONITO SEMIAMARGO MAPSA POR 1 KILO (MAPSA),199,$516.00,Disponible
CEBOLLIN POR 1 KILO (DON TITO),568,$479.00,Disponible
CEREZA AL MARRASCHINO POR 1 KILO (CERESKINA),534,$514.00,Disponible
CEREZA ENTERA POR 10 KILOS (CERESKINA),793,$4536.00,Disponible
"CEREZAS AL MARRASCHINO BALDE POR 3.100 KG (CERESKINA)",034,$1848.00,Disponible
CEREZAS PARTIDAS BALDE POR 10 KILOS (CERESKINA),141,$3420.00,Disponible
